Stock Name,Total Quantity,Avg Buy Price,Total Invested
GRAND TOTAL,765,392.08,299940.0
NABBC,49,901.6,44178.4
LICN,37,950.0,35150.0
PCBL,175,257.0,44975.0
SBI,110,406.8,44748.0
GMFIL,95,470.0,44650.0
ICFC,66,633.0,41778.0
CHCL,71,504.9,35847.9
GRAND TOTAL,1368,,591267.3
